phase,family,label,tail,d_n_active_features,d_edge_density,d_mean_top50_score,d_top10_over_top50,d_layer_entropy,d_mean_error_node_weight,d_logit_gap,d_layer_stats_mean,d_layer_stats_std,d_layer_stats_median,d_layer_stats_entropy_bits,d_topk20_score_total,d_topk20_score_gini,d_density_at_0.50,d_density_at_0.60,d_density_at_0.70,d_density_at_0.80,d_density_at_0.90,d_density_at_0.95,d_density_at_0.99,d_n_edges_at_0.50,d_n_edges_at_0.60,d_n_edges_at_0.70,d_n_edges_at_0.80,d_n_edges_at_0.90,d_n_edges_at_0.95,d_n_edges_at_0.99,d_n_edges_total_at_0.50,d_n_edges_total_at_0.60,d_n_edges_total_at_0.70,d_n_edges_total_at_0.80,d_n_edges_total_at_0.90,d_n_edges_total_at_0.95,d_n_edges_total_at_0.99,d_n_kept_at_0.50,d_n_kept_at_0.60,d_n_kept_at_0.70,d_n_kept_at_0.80,d_n_kept_at_0.90,d_n_kept_at_0.95,d_n_kept_at_0.99,d_n_nodes_total_at_0.50,d_n_nodes_total_at_0.60,d_n_nodes_total_at_0.70,d_n_nodes_total_at_0.80,d_n_nodes_total_at_0.90,d_n_nodes_total_at_0.95,d_n_nodes_total_at_0.99
l3,geometry_claim,true,answer_colon,-1319.8,-0.015405579557682306,-0.0008415831503453866,-0.09915297459367475,-0.18822385728224433,-0.01509435772895813,-0.6219874022970524,-0.1834329346083738,-0.09296704225225767,-0.4,-0.01268117505773141,-0.028167766198063167,-0.06782779778132812,-0.017601367298948158,-0.030069030880115484,-0.024570802704553918,-0.0163745868272978,-0.008421138139676449,-0.003698498466322031,2.554796979485352e-05,7050.0,18135.0,42107.4,118662.2,277278.8,363203.0,222361.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.6,143.2,210.2,294.2,342.6,289.8,101.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l3,geometry_claim,true,the_answer_is,-1170.6,-0.013421986268237079,-0.0001799405172287152,0.08512312615574788,-0.02263496995704717,-0.00601467490196228,1.122103512498954,-0.20882168124684206,-0.16326890004187417,-0.4,-0.016324858601910998,-0.00566261905396459,0.09740105288179816,-0.024911740389469306,-0.0276400276661388,-0.020680604246977135,-0.013541899536552032,-0.005753235258292089,-0.002535456999040969,0.00017307546793700058,-1670.4,-5811.0,-5769.8,27966.4,155146.8,204031.8,125780.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,45.2,91.8,164.6,218.0,180.0,54.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l3,geometry_claim,true,true_or_false,-1561.4,-0.005155833951609931,-3.3543525907589355e-05,0.016230820060965122,-0.09240790311400007,0.0025562822818756105,-0.5521652477537053,-0.15475306209380194,-0.1305404811410497,-0.4,-0.010845484333214727,-0.0009567397100909147,0.04941178753431044,-0.012363790554330617,-0.008757414691335291,-0.00797643868895243,-0.0050613386229505395,-0.004010160139207813,-0.00252103357139839,-0.002551232060212849,-1248.6,-2521.4,-9578.6,-24346.0,-60388.6,-70631.4,-158994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,15.8,26.2,24.2,30.2,22.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l3,numeric_open,true,answer_colon,-568.0769230769231,0.027020714742168755,0.009319566288768448,0.1882038017089713,-0.4476672456376152,0.01673083924330198,7.952495553922689,-0.11391737336347739,-0.19730907408077028,0.0,0.005462696479925162,0.3210222533632964,0.18626536840050337,0.08091843986116026,0.06328761749087905,0.04753747263184643,0.03173096480938959,0.023231645625781446,0.019999277361276022,0.01845546133049371,-13167.307692307691,-55033.88461538462,-152772.76923076922,-296614.0,-232241.3076923077,177406.26923076922,1049169.4615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-165.34615384615384,-323.53846153846155,-489.96153846153845,-590.8461538461538,-515.8846153846154,-341.5,-87.92307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l3,numeric_validity,false,answer_colon,-759.72,0.008771601827073516,-0.0017570290391595213,-0.15420053850798907,0.07598230652537158,-0.03369345188140869,0.45035012318973583,-0.019127506938767098,-0.032400173882065994,0.0,0.012081388208372523,-0.06201147062444741,-0.157618130555025,0.054737562950337375,0.03222498436538252,0.01559690541455081,0.008837826852869409,0.003832967721545393,0.002828695263942771,0.003956046996962,13740.84,32301.4,56094.56,106432.36,210827.68,295343.4,374586.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.6,64.6,58.64,58.0,84.8,94.4,48.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l3,numeric_validity,false,the_answer_is,-814.65625,-0.0017438571662994297,-3.12298161436615e-05,-0.014616080100246408,0.05136073721837438,-0.008695962838828564,1.5004833048251394,-0.11652080450386848,-0.10672819910088693,0.0,0.001100342187126374,-0.0009517137187197485,-0.0017913676377609863,0.015572938011959315,0.005832911194757895,4.8948813473608833e-05,-0.00236529925237647,-0.003410874948224016,-0.002676431594079617,-0.00176936808517967,4251.75,7941.3125,9531.1875,7195.875,-3142.65625,-5370.4375,-47256.59375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9375,14.59375,18.15625,28.1875,48.90625,53.78125,30.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l3,numeric_validity,false,true_or_false,-1421.625,-0.0036427796525401812,-1.999300301370521e-05,-0.004363260147196468,0.025632669115559767,0.001440701074898243,-0.5782061415660756,-0.046051617105070664,-0.056991465180585454,0.0,0.004461351172364153,-0.0005892831804636955,0.019498777895171085,-0.0038627292937308804,-0.0058870898323845995,-0.004811071667066807,-0.0036708938046759974,-0.0035340747462037853,-0.0033350533673836584,-0.0031995311953597286,-1571.71875,-9493.96875,-32521.15625,-94444.53125,-209329.34375,-266069.25,-261677.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.4375,-19.84375,-40.71875,-72.96875,-78.40625,-60.3125,-16.65625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l3,numeric_validity,true,answer_colon,-663.3333333333334,0.015588871403754452,-0.0011398835349380582,-0.19784358481453124,0.05568191462320892,-0.03759727468996337,-0.36130742060955756,0.015297160930637882,-0.01393659744570076,0.0,0.012307985039788331,-0.04101131631917855,-0.2125420436179668,0.05717769364161498,0.0405128858027099,0.025671721244871205,0.01612700431261212,0.008413250866964915,0.0072060393533614,0.007437692787742643,15606.90909090909,41462.21212121212,87732.69696969698,177461.21212121213,337577.57575757575,486258.9696969697,604307.9696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.57575757575758,87.81818181818181,89.03030303030303,90.39393939393939,108.75757575757575,108.06060606060606,50.121212121212125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l3,numeric_validity,true,the_answer_is,-776.8571428571429,-0.002569624588491166,-5.6892755896643866e-05,-0.02852396044226427,-0.054447857397428155,-0.013605576540742601,1.8277188541433813,-0.11797207066514989,-0.10156632052115697,0.0,-0.002026512997027766,-0.0018442256372108892,-0.008368958264364533,0.01172758913192075,0.0001851613254338001,-0.0017027861171641661,-0.003231672782806256,-0.002359245683684271,-0.0014839335629422026,-0.00047895319984965886,3721.714285714286,6626.214285714285,15966.92857142857,29733.10714285714,65414.53571428572,78334.75,45776.892857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.714285714285715,27.392857142857142,43.07142857142857,61.464285714285715,78.82142857142857,71.96428571428571,33.107142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l3,numeric_validity,true,true_or_false,-1299.6875,-0.003201987223012816,-1.7176805293277475e-05,-0.016065847084093414,0.055036896394709905,-3.532040864229202e-05,-0.5290400363015934,-0.025528526909807225,-0.029363959680144103,0.0,0.003970546758416349,-0.0004953000149875153,-0.002544260116607646,-0.00196821025134032,-0.0014657654831270626,-0.0031606200233493236,-0.0032488802468491054,-0.0029847028681652754,-0.002897487554852092,-0.0027989324213628323,-1354.34375,-6362.125,-29185.625,-92427.6875,-195892.1875,-244737.75,-231863.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,-20.53125,-43.84375,-76.65625,-80.53125,-60.5,-16.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
