phase,prompt_id,d_n_active_features,base_n_active_features,d_edge_density,base_edge_density,d_logit_gap,base_logit_gap,d_layer_stats_mean,base_layer_stats_mean,d_layer_stats_entropy_bits,base_layer_stats_entropy_bits,d_topk20_score_total,base_topk20_score_total,d_topk20_score_gini,base_topk20_score_gini,d_top10_over_top50,base_top10_over_top50
l2,tri_v2_230,-34.0,16403.0,-0.005309803073420133,0.12505051572260595,-1.6233145029803122,-1.8753461844826411,-0.07714290301663773,9.03670060354813,0.004848910164390929,4.2833954977527595,0.19340212672796042,0.0006487245500466088,0.21853711103401857,0.1616077866208946,0.18361625929557962,0.3478103698635981
l2,tri_v2_231,-317.0,19404.0,-0.0036241797011333232,0.11512826473352575,1.8755227027607422,0.997807589262762,-0.15945363858490857,8.746083281797567,-0.01004959770342495,4.242597196009096,0.2728486496180267,0.0007982582628756063,0.17008900822664622,0.2152951395344804,0.20253813173557123,0.37236370384049355
l2,tri_v2_232,-141.0,29059.0,-0.01241951437549954,0.11901785401101407,-1.8679537616990118,1.620801670333317,-0.16826613981788796,8.582126019477615,-0.009682563300073888,4.21757576367944,0.1336006849705882,0.0005998619199090172,0.2748822174059763,0.22743870203328378,0.1629887528272307,0.3828924535962007
l2,tri_v2_233,116.0,16373.0,-0.0083161405579468,0.12457417501187804,-0.11977800897446089,1.7480844057080451,-0.053607672286050345,9.11152507176449,0.008891831148892138,4.292718437102194,0.1909539442276582,0.08773453684989363,0.04476571318370903,0.34965845433873266,0.016750453933777054,0.5606437668682857
l2,tri_v2_234,494.0,17657.0,0.00041347310169689844,0.12592199828856118,-0.25382383986464796,1.5040773967513854,0.14965971387878518,9.306733873251401,0.014305407322102504,4.2910998173168595,0.2435635210131295,0.03636761585948989,0.015070156453227512,0.38808857851083595,0.010849197909762354,0.5590566863535358
l2,tri_v2_235,76.0,21250.0,-0.018472620020109007,0.1307249252426169,3.5620965027603577,1.2513189249083667,-0.13918909478074326,8.701929411764706,-0.0016811592065781866,4.226654098705548,0.2471619345014915,0.03535289422143251,0.11390940839764713,0.2786938974838531,0.1158000625332739,0.47135164978219957
l2,tri_v2_236,-149.0,17085.0,-0.005398394324614544,0.12924122835560828,-1.3737904496670095,-1.6250458098044076,-0.06894438723606555,9.10307287093942,0.006329054483865448,4.290093098195079,0.19467239353252808,0.0015960781238391064,0.21337855836119224,0.18853879924412337,0.180308406588709,0.3683117759842128
l2,tri_v2_237,50.0,18357.0,0.005383754995820306,0.11365389573399828,2.6203878692509575,2.1270695906338926,-0.10949130729807877,8.688129868714931,-0.008732027550500732,4.229092866140949,0.22686476085800678,0.045839123777113855,0.014927373402286448,0.3656175375009452,0.03369523987062706,0.5383772100089085
l2,tri_v2_238,-63.0,24616.0,-0.014886188855806351,0.1191177689862404,-2.1290216144445613,1.6260479659623863,-0.12020154850362452,8.725259993500163,-0.008427834480611018,4.239064936692112,0.1241588966213385,0.00043185276535950834,0.2680692216733277,0.1909325373077824,0.16414827931238457,0.357605782455028
l2,tri_v2_239,-485.0,27683.0,-0.014936234936787945,0.12146203069855427,-2.377397694994011,1.7511447492654977,-0.22724088129399078,8.904128887765054,-0.007683010674026214,4.2533700719207825,0.14008446768275462,0.0007185176073107868,0.26177310298209855,0.2273955761621288,0.16732936810932786,0.38188799669834705
l2,tri_v2_240,-372.0,20120.0,-0.0019352635538518875,0.12188718111998766,-1.2515797673286064,-1.7493744501861581,-0.19981590102890934,8.908697813121272,-0.009328689073164753,4.26357655803888,0.19296774394024396,0.0005983762894175015,0.21282994516034037,0.16848508480845215,0.16566088282403008,0.3599345754440289
l1_l2,tri_v2_001,544.0,20597.0,0.0023708659077516514,0.11908809288472048,-4.751480471538388,-1.4986786106289993,-0.3007258383375149,8.84677380201,-0.031029633296849823,4.240342110145831,0.1876562843681313,0.017201201466377825,0.15471897382018074,0.24887623002427656,0.14833624522119343,0.40401049127190164
l1_l2,tri_v2_002,307.0,16966.0,0.006382824743492527,0.12582134322427002,0.5030945777236846,1.3732222795260571,-0.2811714881569909,9.282329364611575,-0.031059197518088055,4.29038816982668,0.22396161797223613,0.02978970791446045,-0.013968040895295852,0.38815884256555977,-0.009538389662216984,0.5601530851449497
l1_l2,tri_v2_003,79.0,30372.0,-0.017777351287990073,0.12138639125264075,-1.9974257290450688,1.625186268566785,-0.37531672275334493,8.680626893191098,-0.041691566791737245,4.223114185407576,0.05717260834717308,0.0005500181396200787,0.20584703554026154,0.2231861538330779,0.11222993869346942,0.3832214100073088
l1_l2,tri_v2_004,47.0,25972.0,-0.01664481945125841,0.1216385535352838,-2.117526874917351,1.7473077058729185,-0.40213508068748993,8.81175881718774,-0.043208991541187736,4.248176932256455,0.04589609503818792,0.0006896829690958839,0.1860544386321673,0.2376618924062061,0.11551114572262366,0.377164283787373
l1_l2,tri_v2_005,56.0,26969.0,-0.011246921585511438,0.12516803493811418,-2.121391326908623,1.749517163239359,-0.32035543876069283,8.867959509065965,-0.03489415456870404,4.24954475403376,0.03107235222887539,0.0006902486475155456,0.2063900653391619,0.2218455446255607,0.11080515648452155,0.3843980369754323
l1_l2,tri_v2_006,482.0,19271.0,0.01491527914008918,0.11076559130219578,1.1850755184784776,0.8768983301532292,-0.28314456775571983,9.020652794354211,-0.0266344731900352,4.279114358188541,0.2413962953723967,0.03431750228628516,-0.00044487104152468593,0.33797669149492293,0.04386340464340821,0.5037865301649918
l1_l2,tri_v2_007,-72.0,28547.0,-0.015937263120835682,0.12225755979077303,-2.00030421988917,2.00030421988917,-0.399043900708941,8.68367954601184,-0.048337527693111504,4.23509315195449,0.05392593305441551,0.0005852288159076124,0.1832974838969173,0.2336532944540488,0.1162230084590331,0.37704442947283906
l1_l2,tri_v2_008,290.0,17284.0,-0.007515810395531369,0.12479653930151383,-2.875338270262868,0.6249389304497441,-0.27698006435681854,8.981543624161075,-0.03383053151027848,4.275981714022927,0.17303795229963725,0.00236669529840583,0.12283823153149731,0.27317340351985564,0.09519554847029976,0.444992027727109
l1_l2,tri_v2_009,248.0,29056.0,0.0027330040615227286,0.11719514766884286,-6.076900354146493,-7.556668322337431,-0.2159206475698756,8.509430066079295,-0.016112269303246052,4.198113924783447,-3.549727583362916e-05,3.559313176992873e-05,0.0038458027618767654,0.14827007877060422,-0.0030909328561666283,0.322264000797087
l1_l2,tri_v2_010,123.0,28617.0,-0.0027275358930923393,0.11347956003696513,-5.0446611040039935,-6.328180953601232,-0.22823209090060814,8.474717825069014,-0.019160647849506773,4.198517377992679,-0.00012096632367075699,0.00012194548662591842,0.010149425929600692,0.15969260585249767,0.03167135438002511,0.3199528785231075
l1_l2,tri_v2_011,-64.0,28846.0,-0.01922009025550414,0.11684057555866849,-1.7482743561366592,1.7482743561366592,-0.3939147922369166,8.630382028704153,-0.044034455261315664,4.221383931565535,0.04646933832009381,0.00043423884744697716,0.2187505996030821,0.1969999377652973,0.12862458696053064,0.36461451097712294
l1_l2,tri_v2_012,339.0,22180.0,-0.009591375175227956,0.1239941633138777,3.0624544704669794,1.4999193866012042,-0.20482636423921896,8.541253381424706,-0.0325786023770398,4.221620532136972,0.2328652756405063,0.025845276366453618,0.0795444829460113,0.2767666689187502,0.07714292776434617,0.46867095703108763
l1_l2,tri_v2_013,161.0,24030.0,-0.00770099204063035,0.1168493943732133,1.3707695814469054,1.2520448355511355,-0.12245269144213466,8.641323345817728,-0.01563900548001751,4.208696738968248,0.25335365465434734,0.007527947178459726,0.11360561026294552,0.27590642429250833,0.13314664439119744,0.44381677334591346
l1_l2,tri_v2_014,440.0,18498.0,0.0027398329342547545,0.1181545780849089,2.002456005409158,2.2477768564685228,-0.303970199128484,8.739971888852848,-0.03647311770773065,4.240106384714498,0.21219234028831124,0.07209049956873059,-0.017055406184530997,0.35764946827617744,-0.016455178099052614,0.5586123239359632
l1_l2,tri_v2_015,360.0,23738.0,-0.00859914759308461,0.12395812723929836,3.372720085487948,1.503215699154103,-0.2238486280160501,8.503622883140956,-0.0359071038919625,4.207029198309068,0.2383960732840933,0.027735307288821787,0.08958357214854346,0.2742881543752732,0.08394227500138518,0.46682166363568367
l1_l2,tri_v2_016,117.0,24479.0,-0.013485429421744868,0.1192311652997486,-2.122113508095862,1.7509374734698975,-0.3747912846209722,8.669798602884104,-0.04396353526625596,4.235180226584783,0.025014540946358466,0.0004186826899967855,0.2258178548420616,0.19236413938869515,0.1312778005871873,0.35929673815222507
l1_l2,tri_v2_017,183.0,24337.0,-0.013881125210688613,0.11854306477238623,-2.374786485733882,1.8753461841980803,-0.35019725066345053,8.632986810206681,-0.0418263987503007,4.227970560779127,0.023686345344685833,0.0005136034178576665,0.22077288150769575,0.1918402298668812,0.12922335381947891,0.35784601959555573
l1_l2,tri_v2_018,670.0,19985.0,0.003888641308929436,0.11953279695215178,-4.374161514134108,-1.7494348447866832,-0.2882017237934509,8.819114335751815,-0.03366970790769752,4.243790162759425,0.18383974634343758,0.017409690364729613,0.1683781853933299,0.22204436058989355,0.15950673472243698,0.3872266047821293
l1_l2,tri_v2_019,161.0,17788.0,-0.0008441826198317404,0.1225543661451061,-1.8734439713947912,-3.626551250029417,-0.3039556846990852,9.16584214076906,-0.03057666887025423,4.2951457874320065,0.15055070123707992,0.0009500234846200328,0.10899347231681997,0.23352445084660126,0.09574037851204298,0.3999122359946306
l1_l2,tri_v2_020,86.0,24421.0,-0.014084614289671865,0.11904391125604191,-2.125267941169027,1.7514081724804527,-0.35090346983825604,8.646410875885508,-0.040061084501418875,4.233162812797552,0.02066833575554483,0.00042096871584362816,0.21574990008227693,0.19173341071483133,0.12457329730207584,0.35894253507128726
l1_l2,tri_v2_021,68.0,25988.0,-0.015157596859879566,0.12021195972669109,-2.1202791177717506,1.6212879516551295,-0.3610754974462349,8.752693550869632,-0.04029713879693997,4.244709548226647,0.05450232529983623,0.0006808310936321504,0.19142060168603556,0.2388114529713379,0.11637865694511124,0.37805863095055153
l1_l2,tri_v2_022,115.0,27718.0,-0.01821177950011313,0.11638040818134503,-1.7482743561366592,1.7482743561366592,-0.3923065493025497,8.522332058590086,-0.048092359354069636,4.2137042453389375,0.047718180804622534,0.0004371496661406127,0.2195184979437883,0.2024387776289498,0.13140589535436803,0.36594609837959213
l1_l2,tri_v2_023,333.0,22438.0,-0.001725541870965533,0.12376350555580402,-2.246000227796968,1.7466390339227194,-0.20220362641406098,8.34347981103485,-0.029073477345183285,4.219148197259811,0.21579306380590424,0.038681382371578366,0.0761631054040749,0.3210366109506285,0.09024803266886128,0.4986052363573765
l1_l2,tri_v2_024,230.0,28526.0,-0.003541425175663679,0.11601865949064448,-5.089921481309618,-7.073971867025907,-0.23390772633258017,8.488045993129075,-0.02384891340083861,4.202142764636959,-5.367614152440581e-05,5.414233419287484e-05,0.09543937652449877,0.14655396328238915,0.072839691622467,0.3088701575943292
l1_l2,tri_v2_025,115.0,27718.0,-0.018196344876341405,0.11636544673122945,-1.7482743561366592,1.7482743561366592,-0.3923065493025497,8.522332058590086,-0.048092359354069636,4.2137042453389375,0.04771845098093763,0.00043713944523915416,0.21950959990699123,0.2024404747560046,0.13140015947996564,0.3659451147173896
l1_l2,tri_v2_026,535.0,20601.0,0.009959301719988559,0.11253696389393107,-3.3742361879102605,0.9985288300979285,-0.2926343676275103,9.108635503130916,-0.027295358993508323,4.279827293060815,0.22225872275885195,0.031009884201921523,-0.01727093986882261,0.35315825717496,0.02451307253423629,0.5192442567876769
l1_l2,tri_v2_027,473.0,19609.0,0.004985651169754787,0.11489745555160874,1.3132773393324282,2.1246237644427612,-0.3013379119804327,8.87413942577388,-0.03315369270675639,4.244661966407728,0.21825881232507527,0.058221312472596765,-0.013441201316669149,0.3630220019238448,-0.014700584124693328,0.5552997899397383
l1_l2,tri_v2_028,-24.0,26053.0,-0.014385545814259465,0.11926490119059352,-2.124472954903521,1.7532258041086113,-0.34759429395393404,8.852838444708862,-0.0375946061254302,4.247920597942623,0.030553001723092166,0.0004576823685056297,0.21857919805323991,0.1894893410010128,0.13440156902438682,0.35757737090227415
l1_l2,tri_v2_029,367.0,19997.0,-0.01141766145182603,0.1285610288764863,-0.2524511560579068,1.5027047129446442,-0.23526151442850107,8.481922288343252,-0.031269839712924075,4.223826579446359,0.2098913278314285,0.03373034863034263,0.10309777826584215,0.2735054166224455,0.1073130261147957,0.46378325379487434
l1_l2,tri_v2_030,454.0,19430.0,0.013844691646387061,0.11125435607207544,0.3124767310749339,0.8754687373409848,-0.2408009067102821,9.039835306227483,-0.02927575521699577,4.278073738278691,0.2576734562171623,0.02575724956113845,-0.007162442853641926,0.34619070787300965,0.05089649784483108,0.5056439915118079
l1_l2,tri_v2_031,247.0,17773.0,0.0011153970246789158,0.12509900407835967,-2.8793449124220336,-1.8731998001597274,-0.2276855432922016,9.121026275811625,-0.023451624726078535,4.292797233810092,0.14976518058392685,0.0005398556386353448,0.18324758618632556,0.1723698937994879,0.15483834658576545,0.35210421221486143
l1_l2,tri_v2_032,-45.0,26447.0,-0.01341096668471592,0.1215743730530149,-2.25085063927726,1.7523454999020442,-0.4276603855675418,8.798011116572768,-0.04411675420367267,4.2405097044650235,0.04765674265945563,0.000754387780034449,0.19835983017469425,0.23387670429698457,0.11894396749488423,0.3851514108766393
l1_l2,tri_v2_033,92.0,28771.0,-0.004528544245197538,0.11941203782097852,-3.1664928232338205,-9.003131198708738,-0.227450434132475,8.531542177887456,-0.02155344903541767,4.203782365528432,-7.4214065630684445e-06,7.847789106563141e-06,0.053535826531390496,0.13459423942526455,0.05354998963213825,0.3009049700092412
l1_l2,tri_v2_034,374.0,15745.0,0.00826794026044203,0.13006400288264022,-4.932233460157422,-0.2531243835249011,-0.29162681785720856,9.114258494760241,-0.03434981006181381,4.280146464997615,0.14141925855074078,0.09325438120868057,0.035778392069894194,0.346926100784829,0.02122089710680497,0.5422905586876523
l1_l2,tri_v2_035,-84.0,28372.0,-0.014793269800412429,0.12232621373184492,-2.252774688928378,1.7474435844828102,-0.395253212730287,8.953299027209926,-0.04079076372222801,4.251790129405526,0.04834143324296747,0.0005949184251221595,0.2156694523627462,0.2175269309948925,0.12718595227237844,0.3784336939607352
l1_l2,tri_v2_036,235.0,27743.0,-0.017960632982389757,0.11536761628751106,-1.7479568450232543,1.7479568450232543,-0.3315502937621275,8.502613271816314,-0.03857217871690999,4.208589946926136,0.04253187539143255,0.00031937691528582945,0.24132659098715248,0.18831780276442128,0.1323693384098073,0.3597090682636414
